DATE	PREC_IDW3	TEMP	QOBS
18/05/00	2.736	17.6	6.667717216
19/05/00	15.112	17.6	6.507531817
20/05/00	48.368	17.6	8.249548027
21/05/00	31.6	17.6	9.070498195
22/05/00	12.866	17.6	9.030451845
23/05/00	18.501	17.6	9.110544544
24/05/00	11.662	17.6	10.71239853
25/05/00	20.194	17.6	8.249548027
26/05/00	17.975	17.6	10.11170329
27/05/00	61.101	17.6	18.02085734
28/05/00	6.256	17.6	14.27652365
29/05/00	3.321	17.6	9.671193439
30/05/00	12.686	17.6	8.089362628
31/05/00	32.474	17.6	9.450938516
01/06/00	15.775	17.6	8.349663901
02/06/00	9.616	17.6	7.088203887
03/06/00	12.994	17.6	6.607647691
04/06/00	3.819	17.6	7.028134363
05/06/00	13.628	17.6	7.368528335
06/06/00	11.343	17.6	9.090521369
07/06/00	6.527	17.6	8.109385803
08/06/00	10.364	17.6	12.11402077
09/06/00	11.6	17.6	10.83253758
10/06/00	7.638	17.6	8.670034698
11/06/00	0.508	17.6	7.949200405
12/06/00	1.642	17.6	8.109385803
13/06/00	11.353	17.6	7.508690558
14/06/00	13.949	17.6	7.728945482
15/06/00	4.105	17.6	9.571077565
16/06/00	24.977	17.6	11.65348775
17/06/00	30.358	17.6	11.85371949
18/06/00	11.068	17.6	10.75244488
19/06/00	0.579	17.6	9.490984866
20/06/00	8.986	17.6	10.33195821
21/06/00	6.634	17.6	10.03161059
22/06/00	5.298	17.6	9.290753118
23/06/00	57.387	17.6	10.53218996
24/06/00	24.629	17.6	13.79596745
25/06/00	9.561	17.6	14.97733477
26/06/00	7.209	17.6	12.81483189
27/06/00	1.601	17.6	11.33311695
28/06/00	5.214	17.6	9.911471537
29/06/00	2.589	17.6	9.170614069
30/06/00	39.527	17.6	9.851402013
01/07/00	2.265	17.6	12.91494776
02/07/00	1.081	17.6	9.931494712
03/07/00	1.323	17.6	8.549895649
04/07/00	15.996	17.6	8.009269929
05/07/00	1.049	17.6	8.349663901
06/07/00	2.796	17.6	8.409733425
07/07/00	9.317	17.6	8.569918824
08/07/00	5.396	17.6	9.430915341
09/07/00	4.582	17.6	7.92917723
10/07/00	13.784	17.6	7.468644209
11/07/00	0.104	17.6	9.370845817
12/07/00	12.456	17.6	7.34850516
13/07/00	31.975	17.6	7.208342936
14/07/00	3.734	17.6	12.81483189
15/07/00	10.747	17.6	8.750127397
16/07/00	1.114	17.6	14.51680175
17/07/00	0.055	17.6	9.911471537
18/07/00	4	17.6	8.349663901
19/07/00	0.716	17.6	7.568760083
20/07/00	0.005	17.6	7.108227062
21/07/00	10.622	17.6	6.827902614
22/07/00	7.49	17.6	8.109385803
23/07/00	10.722	17.6	14.3966627
24/07/00	44.629	17.6	11.59341822
25/07/00	34.515	17.6	14.85719572
26/07/00	10.177	17.6	13.07513316
27/07/00	30.972	17.6	14.85719572
28/07/00	28.224	17.6	16.05858621
29/07/00	6.826	17.6	13.39550396
30/07/00	5.657	17.6	10.7324217
31/07/00	9.215	17.6	9.531031216
01/08/00	0.661	17.6	9.430915341
02/08/00	5.653	17.6	9.63114709
03/08/00	17.925	17.6	10.77246805
04/08/00	6.99	17.6	10.61228266
05/08/00	40.083	17.6	15.21761287
06/08/00	10.67	17.6	15.09747382
07/08/00	5.257	17.6	16.75939733
08/08/00	23.964	17.6	15.33775191
09/08/00	3.716	17.6	12.59457696
10/08/00	0.588	17.6	10.51216678
11/08/00	3.662	17.6	10.09168011
12/08/00	0.8	17.6	10.19179598
13/08/00	1.508	17.6	9.070498195
14/08/00	5.579	17.6	8.950359146
15/08/00	3.103	17.6	8.209501677
16/08/00	0.03	17.6	7.648852782
17/08/00	3.662	17.6	7.368528335
18/08/00	0.159	17.6	7.128250237
19/08/00	0.013	17.6	7.168296586
20/08/00	2.299	17.6	6.847925789
21/08/00	2.112	17.6	6.507531817
22/08/00	10.431	17.6	6.427439118
23/08/00	3.841	17.6	6.607647691
24/08/00	6.933	17.6	6.467485468
25/08/00	0.708	17.6	9.030451845
26/08/00	0.758	17.6	11.15290838
27/08/00	23.666	17.6	13.43555031
28/08/00	1.752	17.6	11.79364997
29/08/00	2.806	17.6	10.13172646
30/08/00	18.895	17.6	10.67235218
31/08/00	3.122	17.6	9.911471537
01/09/00	4.166	17.6	9.63114709
02/09/00	27.344	17.6	18.48139036
03/09/00	1.744	17.6	13.13520268
04/09/00	19.586	17.6	11.57339505
05/09/00	0.756	17.6	10.13172646
06/09/00	7.917	17.6	10.09168011
07/09/00	3.21	17.6	9.811355663
08/09/00	1.104	17.6	9.611123915
09/09/00	51.799	17.6	17.36009257
10/09/00	9.656	17.6	8.569918824
11/09/00	24.045	17.6	8.790173747
12/09/00	20.531	17.6	8.449779775
13/09/00	4.557	17.6	7.208342936
14/09/00	21.902	17.6	9.731262964
15/09/00	28.625	17.6	11.03276933
16/09/00	18.87	17.6	10.8125144
17/09/00	16.046	17.6	12.23415982
18/09/00	15.396	17.6	9.711239789
19/09/00	6.242	17.6	9.410892167
20/09/00	26.692	17.6	10.8125144
21/09/00	32.398	17.6	13.01506363
22/09/00	1.335	17.6	9.611123915
23/09/00	8.078	17.6	9.01042867
24/09/00	6.917	17.6	8.449779775
25/09/00	11.797	17.6	8.109385803
26/09/00	6.983	17.6	7.809038181
27/09/00	9.051	17.6	7.38855151
28/09/00	5.328	17.6	7.108227062
29/09/00	6.77	17.6	6.687740391
30/09/00	27.906	17.6	9.430915341
01/10/00	12.685	17.6	8.589941999
02/10/00	4.124	17.6	7.368528335
03/10/00	20.423	17.6	10.43207408
04/10/00	0.465	17.6	7.468644209
05/10/00	20.037	17.6	10.13172646
06/10/00	0.531	17.6	7.488667384
07/10/00	1.664	17.6	6.948041663
08/10/00	15.103	17.6	7.468644209
09/10/00	0.468	17.6	7.108227062
10/10/00	1.884	17.6	6.347346419
11/10/00	9.424	17.6	6.567601342
12/10/00	2.414	17.6	6.207184195
13/10/00	5.353	17.6	5.986929272
14/10/00	4.429	17.6	6.026975622
15/10/00	22.873	17.6	10.87258393
16/10/00	11.155	17.6	6.427439118
17/10/00	16.945	17.6	6.387392768
18/10/00	38.083	17.6	6.988088013
19/10/00	47.683	17.6	30.23499398
20/10/00	2.518	17.6	10.07165694
21/10/00	19.82	17.6	10.11170329
22/10/00	4.936	17.6	8.690057873
23/10/00	2.466	17.6	7.84908453
24/10/00	2.998	17.6	7.328481985
25/10/00	1.078	17.6	7.148273412
26/10/00	0.371	17.6	6.76783309
27/10/00	3.455	17.6	6.467485468
28/10/00	35.581	17.6	6.487508643
29/10/00	42.731	17.6	14.71703349
30/10/00	26.766	17.6	14.3966627
31/10/00	5.855	17.6	12.09399759
01/11/00	43.478	17.6	17.19990717
02/11/00	13.084	17.6	13.37548078
03/11/00	3.838	17.6	10.95267663
04/11/00	13.19	17.6	10.55221313
05/11/00	1.81	17.6	10.39202773
06/11/00	1.448	17.6	9.370845817
07/11/00	0.88	17.6	8.750127397
08/11/00	3.41	17.6	8.209501677
09/11/00	0.226	17.6	7.789015006
10/11/00	6.357	17.6	7.38855151
11/11/00	4.669	17.6	7.268412461
12/11/00	1.001	17.6	6.827902614
13/11/00	0.083	17.6	6.527554992
14/11/00	0.432	17.6	6.207184195
15/11/00	3.636	17.6	6.147114671
16/11/00	13.132	17.6	5.886813398
17/11/00	18.819	17.6	7.408574684
18/11/00	11.12	17.6	7.789015006
19/11/00	117.707	17.6	33.03823846
20/11/00	5.726	17.6	16.6993278
21/11/00	1.402	17.6	9.511008041
22/11/00	6.88	17.6	8.389710251
23/11/00	1.47	17.6	7.628829607
24/11/00	0.028	17.6	6.988088013
25/11/00	0.889	17.6	6.547578167
26/11/00	0.049	17.6	6.207184195
27/11/00	1.007	17.6	5.906836573
28/11/00	2.515	17.6	5.766674349
29/11/00	25.167	17.6	5.886813398
30/11/00	38.977	17.6	12.57455379
01/12/00	1.877	17.6	7.068180712
02/12/00	79.921	17.6	18.90187703
03/12/00	21.232	17.6	23.62734629
04/12/00	58.656	17.6	24.22804154
05/12/00	71.401	17.6	48.45608307
06/12/00	4.57	17.6	31.23615272
07/12/00	12.06	17.6	22.22572405
08/12/00	42.25	17.6	17.94076464
09/12/00	14.154	17.6	22.0254923
10/12/00	0	17.6	13.77594428
11/12/00	1.497	17.6	11.85371949
12/12/00	2.651	17.6	10.55221313
13/12/00	2.176	17.6	9.911471537
14/12/00	0.967	17.6	9.05047502
15/12/00	3.277	17.6	8.5098493
16/12/00	0.06	17.6	7.969223579
17/12/00	2.466	17.6	7.508690558
18/12/00	0.06	17.6	7.128250237
19/12/00	3.855	17.6	6.827902614
20/12/00	5.186	17.6	6.747809915
21/12/00	1.299	17.6	5.926859747
22/12/00	8.125	17.6	6.347346419
23/12/00	18.868	17.6	6.547578167
24/12/00	43.539	17.6	10.33195821
25/12/00	21.689	17.6	13.6758284
26/12/00	9.03	17.6	8.990405495
27/12/00	1.076	17.6	7.588783258
28/12/00	0.463	17.6	7.028134363
29/12/00	2.92	17.6	6.72778674
30/12/00	9.837	17.6	6.407415943
31/12/00	27.171	17.6	8.589941999
01/01/01	34.186	17.6	12.93497094
02/01/01	45.737	17.6	16.59921193
03/01/01	21.61	17.6	14.0762919
04/01/01	0.782	17.6	11.57339505
05/01/01	18.758	17.6	9.991564236
06/01/01	18.638	17.6	12.69469284
07/01/01	2.384	17.6	10.41205091
08/01/01	0.305	17.6	9.390868992
09/01/01	0.748	17.6	8.650011523
10/01/01	0.702	17.6	8.069339453
11/01/01	0.112	17.6	7.648852782
12/01/01	0	17.6	7.268412461
13/01/01	2.128	17.6	7.128250237
14/01/01	0	17.6	6.667717216
15/01/01	0.185	17.6	6.547578167
16/01/01	0.908	17.6	6.307300069
17/01/01	0.03	17.6	6.046998796
18/01/01	1.194	17.6	5.966906097
19/01/01	2.404	17.6	5.926859747
20/01/01	0.356	17.6	5.706604824
21/01/01	11.34	17.6	5.506373076
22/01/01	38.526	17.6	6.827902614
23/01/01	69.694	17.6	17.0997913
24/01/01	45.325	17.6	20.22340657
25/01/01	63.674	17.6	24.42827328
26/01/01	36.149	17.6	34.43986069
27/01/01	0.068	17.6	20.42363832
28/01/01	0	17.6	14.0762919
29/01/01	0.051	17.6	11.7736268
30/01/01	0	17.6	10.43207408
31/01/01	0	17.6	9.55105439
01/02/01	0	17.6	8.910312796
02/02/01	0.437	17.6	8.369687076
03/02/01	0	17.6	7.869107705
04/02/01	1.394	17.6	7.568760083
05/02/01	0.908	17.6	5.085886405
06/02/01	0	17.6	5.045840055
07/02/01	0.212	17.6	6.707763566
08/02/01	7.428	17.6	6.547578167
09/02/01	10.372	17.6	6.567601342
10/02/01	27.189	17.6	7.568760083
11/02/01	3.503	17.6	7.84908453
12/02/01	2.204	17.6	6.507531817
13/02/01	1.838	17.6	6.127091496
14/02/01	2.254	17.6	6.006952447
15/02/01	5.843	17.6	5.886813398
16/02/01	0.916	17.6	5.866790223
17/02/01	0.268	17.6	5.546419426
18/02/01	0.352	17.6	5.426280377
19/02/01	0.065	17.6	5.226048629
20/02/01	0.065	17.6	4.905677832
21/02/01	0	17.6	4.56528386
22/02/01	0	17.6	4.505214335
23/02/01	0	17.6	4.425121636
24/02/01	0	17.6	4.365052111
25/02/01	0.166	17.6	4.244913062
26/02/01	0.078	17.6	4.164820363
27/02/01	0.051	17.6	4.044681314
28/02/01	0.449	17.6	3.964588615
01/03/01	2.243	17.6	3.94456544
02/03/01	0.14	17.6	3.924542265
03/03/01	0.041	17.6	3.884495916
04/03/01	0.491	17.6	3.764356867
05/03/01	0	17.6	3.644217818
06/03/01	17.521	17.6	3.644217818
07/03/01	8.362	17.6	4.284959412
08/03/01	1.573	17.6	3.98461179
09/03/01	0.065	17.6	3.624194643
10/03/01	0.081	17.6	3.443986069
11/03/01	0.005	17.6	3.40393972
12/03/01	0	17.6	3.383916545
13/03/01	0	17.6	3.323847021
14/03/01	1.979	17.6	3.303823846
15/03/01	0.046	17.6	3.283800671
16/03/01	0.051	17.6	3.103592097
17/03/01	1.08	17.6	4.144797188
18/03/01	0.095	17.6	4.064704489
19/03/01	2.364	17.6	3.964588615
20/03/01	1.974	17.6	4.004634965
21/03/01	0.252	17.6	4.004634965
22/03/01	7.492	17.6	3.844449566
23/03/01	2.278	17.6	4.124774013
24/03/01	1.509	17.6	3.784380041
25/03/01	5.701	17.6	3.844449566
26/03/01	1.711	17.6	3.684264167
27/03/01	0.397	17.6	3.804403216
28/03/01	0.013	17.6	3.764356867
29/03/01	0	17.6	3.764356867
30/03/01	0.24	17.6	3.423962895
31/03/01	0.369	17.6	3.604171468
01/04/01	0.051	17.6	3.423962895
02/04/01	0	17.6	3.343870195
03/04/01	0.051	17.6	3.464009244
04/04/01	0	17.6	3.40393972
05/04/01	0.094	17.6	3.283800671
06/04/01	0	17.6	3.243754321
07/04/01	0.322	17.6	3.223731146
08/04/01	19.752	17.6	3.684264167
09/04/01	4.936	17.6	3.784380041
10/04/01	0.91	17.6	3.40393972
11/04/01	1.085	17.6	3.163661622
12/04/01	8.711	17.6	3.123615272
13/04/01	17.935	17.6	3.423962895
14/04/01	9.302	17.6	4.385075286
15/04/01	3.568	17.6	3.98461179
16/04/01	2.821	17.6	3.303823846
17/04/01	2.191	17.6	3.123615272
18/04/01	5.425	17.6	3.484032419
19/04/01	5.914	17.6	3.423962895
20/04/01	1.572	17.6	3.744333692
21/04/01	0.265	17.6	3.443986069
22/04/01	0.457	17.6	3.223731146
23/04/01	0	17.6	3.043522573
24/04/01	0	17.6	3.083568923
25/04/01	0.641	17.6	3.023499398
26/04/01	0.005	17.6	2.362734629
27/04/01	0.887	17.6	2.28264193
28/04/01	11.385	17.6	2.362734629
29/04/01	18.457	17.6	3.023499398
30/04/01	7.09	17.6	2.963429874
01/05/01	1.496	17.6	2.663082251
02/05/01	0.404	17.6	2.582989552
03/05/01	0.115	17.6	2.422804154
04/05/01	0.005	17.6	2.28264193
05/05/01	0	17.6	2.28264193
06/05/01	0	17.6	2.162502881
07/05/01	0	17.6	2.102433356
08/05/01	1.962	17.6	2.482873678
09/05/01	0	17.6	2.422804154
10/05/01	1.971	17.6	2.28264193
11/05/01	0.954	17.6	2.322688279
12/05/01	3.623	17.6	2.222572405
13/05/01	0.169	17.6	2.362734629
14/05/01	5.565	17.6	2.162502881
15/05/01	6.242	17.6	2.24259558
16/05/01	5.763	17.6	2.20254923
17/05/01	15.105	17.6	2.743174951
18/05/01	27.023	17.6	4.965747356
19/05/01	14.03	17.6	5.286118153
20/05/01	2.916	17.6	3.464009244
21/05/01	1.441	17.6	3.744333692
22/05/01	17.658	17.6	3.484032419
23/05/01	19.333	17.6	5.426280377
24/05/01	1.169	17.6	3.784380041
25/05/01	7.276	17.6	3.223731146
26/05/01	17.213	17.6	5.286118153
27/05/01	4.087	17.6	4.52523751
28/05/01	35.182	17.6	7.428597859
29/05/01	25.102	17.6	7.728945482
30/05/01	33.09	17.6	12.37432204
31/05/01	6.522	17.6	8.029293104
01/06/01	5.391	17.6	5.68658165
02/06/01	37.223	17.6	8.4297566
03/06/01	18.035	17.6	7.288435635
04/06/01	6.228	17.6	6.127091496
05/06/01	6.337	17.6	5.68658165
06/06/01	14.927	17.6	5.806720699
07/06/01	1.972	17.6	4.985770531
08/06/01	26.625	17.6	6.147114671
09/06/01	37.415	17.6	11.81367315
10/06/01	3.569	17.6	7.168296586
11/06/01	1.265	17.6	5.946882922
12/06/01	4.271	17.6	5.346187678
13/06/01	12.32	17.6	4.805561957
14/06/01	1.821	17.6	5.085886405
15/06/01	0.443	17.6	4.365052111
16/06/01	0.761	17.6	4.044681314
17/06/01	2.125	17.6	3.90451909
18/06/01	0.941	17.6	3.664240993
19/06/01	36.669	17.6	4.505214335
20/06/01	10.512	17.6	6.207184195
21/06/01	7.53	17.6	4.965747356
22/06/01	1.503	17.6	4.325005762
23/06/01	9.815	17.6	4.064704489
24/06/01	31.595	17.6	5.466326727
25/06/01	32.709	17.6	8.229524852
26/06/01	36.596	17.6	10.75244488
27/06/01	47.378	17.6	13.03508681
28/06/01	62.77	17.6	15.37779826
29/06/01	25.016	17.6	30.43522573
30/06/01	2.701	17.6	14.73705667
01/07/01	23.213	17.6	13.15522586
02/07/01	4.736	17.6	10.37200456
03/07/01	2.877	17.6	8.910312796
04/07/01	35.008	17.6	9.250706768
05/07/01	7.375	17.6	10.01158741
06/07/01	2.644	17.6	8.489826125
07/07/01	10.032	17.6	7.989246754
08/07/01	6.797	17.6	7.468644209
09/07/01	4.1	17.6	6.887972139
10/07/01	35.957	17.6	11.83369632
11/07/01	31.44	17.6	10.75244488
12/07/01	2.513	17.6	9.110544544
13/07/01	1.917	17.6	7.628829607
14/07/01	4.033	17.6	7.068180712
15/07/01	2.202	17.6	6.527554992
16/07/01	6.34	17.6	6.427439118
17/07/01	24.962	17.6	5.906836573
18/07/01	76.532	17.6	26.23035902
19/07/01	19.49	17.6	11.7736268
20/07/01	12.458	17.6	11.65348775
21/07/01	0.028	17.6	9.410892167
22/07/01	0.313	17.6	8.549895649
23/07/01	4.814	17.6	8.029293104
24/07/01	4.201	17.6	7.368528335
25/07/01	3.92	17.6	7.108227062
26/07/01	3.424	17.6	6.647694041
27/07/01	1.995	17.6	6.22720737
28/07/01	0.654	17.6	5.846767048
29/07/01	0.692	17.6	5.586465775
30/07/01	10.802	17.6	5.846767048
31/07/01	5.23	17.6	5.446303552
01/08/01	0.622	17.6	5.085886405
02/08/01	0.757	17.6	4.925701006
03/08/01	21.229	17.6	5.626512125
04/08/01	15.298	17.6	6.207184195
05/08/01	0.049	17.6	5.266094978
06/08/01	2.329	17.6	4.745492433
07/08/01	10.422	17.6	4.845608307
08/08/01	1.598	17.6	4.805561957
09/08/01	15.011	17.6	5.806720699
10/08/01	2.333	17.6	4.925701006
11/08/01	5.22	17.6	4.625353384
12/08/01	23.754	17.6	4.605330209
13/08/01	5.296	17.6	6.547578167
14/08/01	16.027	17.6	6.267253719
15/08/01	36.91	17.6	5.786697524
16/08/01	5.47	17.6	10.8926071
17/08/01	60.005	17.6	8.950359146
18/08/01	12.844	17.6	18.92190021
19/08/01	0	17.6	10.29191186
20/08/01	3.133	17.6	8.449779775
21/08/01	31.35	17.6	11.57339505
22/08/01	10.799	17.6	10.37200456
23/08/01	20.986	17.6	11.81367315
24/08/01	35.351	17.6	10.77246805
25/08/01	2.131	17.6	10.11170329
26/08/01	6.623	17.6	9.05047502
27/08/01	6.602	17.6	8.269571202
28/08/01	3.925	17.6	7.708922307
29/08/01	1.574	17.6	7.088203887
30/08/01	6.062	17.6	6.707763566
31/08/01	10.182	17.6	6.72778674
01/09/01	2.657	17.6	6.167137845
02/09/01	1.55	17.6	5.866790223
03/09/01	14.73	17.6	6.067021971
04/09/01	4.323	17.6	5.806720699
05/09/01	14.471	17.6	6.22720737
06/09/01	1.671	17.6	5.586465775
07/09/01	46.764	17.6	13.27536491
08/09/01	23.084	17.6	9.250706768
09/09/01	46.888	17.6	16.41900335
10/09/01	5.317	17.6	9.63114709
11/09/01	5.259	17.6	8.109385803
12/09/01	3.499	17.6	7.408574684
13/09/01	29.009	17.6	10.63230583
14/09/01	13.397	17.6	9.210660418
15/09/01	1.138	17.6	7.829061356
16/09/01	0.102	17.6	7.188319761
17/09/01	8.312	17.6	6.707763566
18/09/01	0.972	17.6	6.667717216
19/09/01	0.673	17.6	6.207184195
20/09/01	2.203	17.6	5.906836573
21/09/01	2.784	17.6	5.726627999
22/09/01	9.639	17.6	5.926859747
23/09/01	10.569	17.6	6.447462293
24/09/01	34.207	17.6	13.17524903
25/09/01	4.768	17.6	7.84908453
26/09/01	15.584	17.6	7.188319761
27/09/01	4.416	17.6	6.507531817
28/09/01	23.055	17.6	5.946882922
29/09/01	1.916	17.6	9.370845817
30/09/01	29.755	17.6	10.8125144
01/10/01	10.708	17.6	8.089362628
02/10/01	1.062	17.6	7.208342936
03/10/01	8.47	17.6	6.567601342
04/10/01	0.662	17.6	6.547578167
05/10/01	12.507	17.6	6.587624517
06/10/01	15.59	17.6	6.087045146
07/10/01	7.356	17.6	6.147114671
08/10/01	13.337	17.6	6.847925789
09/10/01	9.372	17.6	6.76783309
10/10/01	0.461	17.6	6.006952447
11/10/01	0.03	17.6	5.706604824
12/10/01	31.025	17.6	10.07165694
13/10/01	23.879	17.6	10.03161059
14/10/01	1.351	17.6	6.928018489
15/10/01	6.658	17.6	6.22720737
16/10/01	0.815	17.6	6.026975622
17/10/01	1.229	17.6	5.68658165
18/10/01	0.052	17.6	5.346187678
19/10/01	2.529	17.6	5.266094978
20/10/01	32.625	17.6	11.0527925
21/10/01	18.937	17.6	8.069339453
22/10/01	12.936	17.6	7.568760083
23/10/01	22.217	17.6	8.790173747
24/10/01	29.825	17.6	14.73705667
25/10/01	4.596	17.6	9.270729943
26/10/01	8.068	17.6	8.489826125
27/10/01	1.305	17.6	7.168296586
28/10/01	0.582	17.6	6.587624517
29/10/01	79.448	17.6	11.71355727
30/10/01	28.155	17.6	23.02665105
31/10/01	26.157	17.6	14.67698714
01/11/01	17.907	17.6	13.95615285
02/11/01	10.011	17.6	14.75707984
03/11/01	12.108	17.6	15.67814589
04/11/01	1.705	17.6	11.453256
05/11/01	57.079	17.6	11.03276933
06/11/01	68.644	17.6	27.43174951
07/11/01	44.387	17.6	32.63777496
08/11/01	20.361	17.6	21.22456531
09/11/01	35.726	17.6	25.42943202
10/11/01	20.637	17.6	19.20222465
11/11/01	26.82	17.6	16.39898018
12/11/01	60.429	17.6	22.4259558
13/11/01	47.919	17.6	30.43522573
14/11/01	62.866	17.6	34.84032419
15/11/01	22.409	17.6	35.44101944
16/11/01	26.466	17.6	23.22688279
17/11/01	58.308	17.6	25.82989552
18/11/01	21.128	17.6	33.23847021
19/11/01	26.305	17.6	24.02780979
20/11/01	31.171	17.6	21.82526056
21/11/01	40.76	17.6	26.23035902
22/11/01	23.126	17.6	25.02896853
23/11/01	9.278	17.6	22.0254923
24/11/01	0.654	17.6	18.58150624
25/11/01	14.108	17.6	17.80060242
26/11/01	7.784	17.6	15.63809954
27/11/01	4.533	17.6	14.21645412
28/11/01	0.837	17.6	12.93497094
29/11/01	2.238	17.6	11.93381219
30/11/01	2.672	17.6	11.35314012
